province,district_clean,sector,district_sector,disease,casetype,age_category_new,gender,periodname,year,month,Total
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,December 2020,2020,December,303.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,December 2021,2021,December,189.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,December 2022,2022,December,184.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,December 2023,2023,December,92.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,December 2024,2024,December,383.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,February 2020,2020,February,316.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,February 2021,2021,February,387.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,February 2022,2022,February,127.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,February 2023,2023,February,75.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,February 2024,2024,February,173.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,February 2025,2025,February,507.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,January 2020,2020,January,160.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,January 2021,2021,January,367.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,January 2022,2022,January,150.0
